 cpt#    psproj#  energy       directional cosines x,y,z
                  (eV)
   1         297  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         298  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         299  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         300  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         301  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         302  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         303  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         304  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         305  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         306  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         307  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         308  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         309  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         310  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         311  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         312  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         313  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         314  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         315  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         316  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         317  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         318  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         319  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         320  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         321  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         322  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         323  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         324  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         325  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         326  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         327  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         328  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
